Action , FunctionalFeature , forceOnTool_X , forceOnTool_Z  , toolVelAtHit_X , toolVelAtHit_Z , InitialToolPos_X , InitialToolPos_Z , FinalToolPos_X , FinalToolPos_Z , InitialLinkPos_X , InitialToolPos_Z , InitialTargetPos_X , InitialTargetPos_Z , targetFinalPos_X , targetFinalPos_Z , targetPlacement_X , targetPlacement_ZtargetDisplacement_X , targetDisplacement_Z
1 , 1 , 0.00 , 1000.00 , -0.00 , 4.57 , -0.00 , 40.00 , -0.00 , 40.02 , -9.96 , 19.00 , -10.00 , 23.00 , -9.10 , 53.02 , 0.05 , -4.00 , 0.90 , 30.02
1 , 1 , 0.00 , 1264.05 , -0.00 , 5.51 , -0.00 , 40.00 , -0.00 , 40.01 , -9.95 , 18.99 , -10.00 , 23.00 , -10.31 , 38.82 , 0.05 , -4.01 , -0.31 , 15.82
1 , 1 , 0.00 , 1449.58 , 0.00 , 6.12 , -0.00 , 40.00 , 0.00 , 39.98 , -9.93 , 18.95 , -10.00 , 23.00 , -9.39 , 33.99 , 0.07 , -4.05 , 0.61 , 10.99
1 , 1 , 0.00 , 1236.06 , -0.00 , 5.15 , -0.00 , 40.00 , 0.00 , 40.01 , -9.93 , 18.98 , -10.00 , 23.00 , -9.86 , 47.86 , 0.07 , -4.02 , 0.14 , 24.86
1 , 1 , 0.00 , 1368.99 , -0.00 , 5.08 , -0.00 , 40.00 , 0.00 , 40.01 , -9.93 , 18.98 , -10.00 , 23.00 , -8.59 , 30.58 , 0.07 , -4.02 , 1.41 , 7.58
1 , 1 , 0.00 , 1267.89 , 0.00 , 5.28 , -0.00 , 40.00 , 0.00 , 40.01 , -9.93 , 18.97 , -10.00 , 23.00 , -9.93 , 34.68 , 0.07 , -4.03 , 0.07 , 11.68
1 , 1 , 0.00 , 1000.60 , -0.00 , 2.70 , -0.00 , 40.00 , 0.00 , 39.98 , -9.95 , 18.95 , -10.00 , 23.00 , -9.81 , 27.96 , 0.05 , -4.05 , 0.19 , 4.96
1 , 1 , 0.00 , 1317.01 , -0.00 , 5.10 , -0.00 , 40.00 , 0.00 , 39.64 , -9.93 , 18.60 , -10.00 , 23.00 , -10.36 , 41.10 , 0.07 , -4.40 , -0.36 , 18.10
1 , 1 , 0.00 , 1413.23 , -0.00 , 5.79 , -0.00 , 40.00 , 0.00 , 39.99 , -9.94 , 18.96 , -10.00 , 23.00 , -9.91 , 38.13 , 0.07 , -4.04 , 0.09 , 15.13
1 , 1 , 0.00 , 1340.34 , 0.00 , 5.66 , -0.00 , 40.00 , 0.00 , 39.99 , -9.93 , 18.96 , -10.00 , 23.00 , -9.79 , 32.67 , 0.07 , -4.04 , 0.21 , 9.67
1 , 1 , 0.00 , 1212.96 , -0.00 , 4.88 , -0.00 , 40.00 , 0.00 , 39.99 , -9.95 , 18.97 , -10.00 , 23.00 , -9.69 , 38.92 , 0.06 , -4.03 , 0.31 , 15.92
1 , 1 , 0.00 , 1083.67 , 0.00 , 4.54 , -0.00 , 40.00 , 0.00 , 40.01 , -9.94 , 18.98 , -10.00 , 23.00 , -9.93 , 39.25 , 0.06 , -4.02 , 0.07 , 16.25
1 , 1 , 0.00 , 1044.90 , -0.00 , 3.92 , -0.00 , 40.00 , 0.00 , 40.00 , -9.95 , 18.98 , -10.00 , 23.00 , -9.43 , 29.26 , 0.05 , -4.02 , 0.58 , 6.26
1 , 1 , 0.00 , 1450.10 , 0.00 , 5.72 , -0.00 , 40.00 , 0.00 , 40.01 , -9.92 , 18.98 , -10.00 , 23.00 , -9.84 , 37.72 , 0.08 , -4.02 , 0.16 , 14.72
1 , 1 , 0.00 , 1196.55 , 0.00 , 5.48 , -0.00 , 40.00 , 0.00 , 39.98 , -9.94 , 18.95 , -10.00 , 23.00 , -9.95 , 31.83 , 0.07 , -4.05 , 0.05 , 8.83
